DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
GU9G;10/09/2016;09:00;V.V. Tielt A;K. SKV Zwevezele A;;;;2;00218;06039
GU9G;10/09/2016;09:15;K.V.C Ichtegem ;SK Staden A;;;;2;05830;04396
GU9G;10/09/2016;09:15;K.F.C. Eendracht Hooglede ;K.FC Lichtervelde A;;;;2;06352;04320
GU9G;10/09/2016;09:30;SKD Hertsberge B;K. VP Gits A;;;;2;07203;04343
GU9G;17/09/2016;09:00;V.V. Tielt A;K.F.C. Eendracht Hooglede ;;;;3;00218;06352
GU9G;17/09/2016;09:00;K. SKV Zwevezele A;SK Staden A;;;;3;06039;04396
GU9G;17/09/2016;09:15;K.FC Lichtervelde A;SKD Hertsberge B;;;;3;04320;07203
GU9G;17/09/2016;09:30;K. VP Gits A;K.V.C Ichtegem ;;;;3;04343;05830
GU9G;24/09/2016;09:15;K.F.C. Eendracht Hooglede ;K. SKV Zwevezele A;;;;4;06352;06039
GU9G;24/09/2016;09:15;K.V.C Ichtegem ;K.FC Lichtervelde A;;;;4;05830;04320
GU9G;24/09/2016;09:15;SK Staden A;K. VP Gits A;;;;4;04396;04343
GU9G;24/09/2016;09:30;SKD Hertsberge B;V.V. Tielt A;;;;4;07203;00218
GU9G;01/10/2016;09:00;K. SKV Zwevezele A;K. VP Gits A;;;;5;06039;04343
GU9G;01/10/2016;09:00;V.V. Tielt A;K.V.C Ichtegem ;;;;5;00218;05830
GU9G;01/10/2016;09:15;K.FC Lichtervelde A;SK Staden A;;;;5;04320;04396
GU9G;01/10/2016;09:15;K.F.C. Eendracht Hooglede ;SKD Hertsberge B;;;;5;06352;07203
GU9G;08/10/2016;09:00;K. SKV Zwevezele A;SKD Hertsberge B;;;;6;06039;07203
GU9G;08/10/2016;09:15;K.V.C Ichtegem ;K.F.C. Eendracht Hooglede ;;;;6;05830;06352
GU9G;08/10/2016;09:15;SK Staden A;V.V. Tielt A;;;;6;04396;00218
GU9G;08/10/2016;09:30;K. VP Gits A;K.FC Lichtervelde A;;;;6;04343;04320
GU9G;15/10/2016;09:00;V.V. Tielt A;K. VP Gits A;;;;7;00218;04343
GU9G;15/10/2016;09:15;K.F.C. Eendracht Hooglede ;SK Staden A;;;;7;06352;04396
GU9G;15/10/2016;09:15;K.FC Lichtervelde A;K. SKV Zwevezele A;;;;7;04320;06039
GU9G;15/10/2016;09:30;SKD Hertsberge B;K.V.C Ichtegem ;;;;7;07203;05830
GU9G;22/10/2016;09:00;V.V. Tielt A;K.FC Lichtervelde A;;;;8;00218;04320
GU9G;22/10/2016;09:15;K.F.C. Eendracht Hooglede ;K. VP Gits A;;;;8;06352;04343
GU9G;22/10/2016;09:15;K.V.C Ichtegem ;K. SKV Zwevezele A;;;;8;05830;06039
GU9G;22/10/2016;09:30;SKD Hertsberge B;SK Staden A;;;;8;07203;04396
GU9G;29/10/2016;09:00;K. SKV Zwevezele A;V.V. Tielt A;;;;9;06039;00218
GU9G;29/10/2016;09:15;SK Staden A;K.V.C Ichtegem ;;;;9;04396;05830
GU9G;29/10/2016;09:15;K.FC Lichtervelde A;K.F.C. Eendracht Hooglede ;;;;9;04320;06352
GU9G;29/10/2016;09:30;K. VP Gits A;SKD Hertsberge B;;;;9;04343;07203
GU9G;05/11/2016;09:15;K.F.C. Eendracht Hooglede ;V.V. Tielt A;;;;10;06352;00218
GU9G;05/11/2016;09:15;SK Staden A;K. SKV Zwevezele A;;;;10;04396;06039
GU9G;05/11/2016;09:15;K.V.C Ichtegem ;K. VP Gits A;;;;10;05830;04343
GU9G;05/11/2016;09:30;SKD Hertsberge B;K.FC Lichtervelde A;;;;10;07203;04320
GU9G;12/11/2016;09:00;V.V. Tielt A;SKD Hertsberge B;;;;11;00218;07203
GU9G;12/11/2016;09:00;K. SKV Zwevezele A;K.F.C. Eendracht Hooglede ;;;;11;06039;06352
GU9G;12/11/2016;09:15;K.FC Lichtervelde A;K.V.C Ichtegem ;;;;11;04320;05830
GU9G;12/11/2016;09:30;K. VP Gits A;SK Staden A;;;;11;04343;04396
GU9G;19/11/2016;09:15;K.V.C Ichtegem ;V.V. Tielt A;;;;12;05830;00218
GU9G;19/11/2016;09:15;SK Staden A;K.FC Lichtervelde A;;;PP;12;04396;04320
GU9G;19/11/2016;09:30;K. VP Gits A;K. SKV Zwevezele A;;;PP;12;04343;06039
GU9G;19/11/2016;09:30;SKD Hertsberge B;K.F.C. Eendracht Hooglede ;;;;12;07203;06352
GU9G;26/11/2016;09:00;V.V. Tielt A;SK Staden A;;;;13;00218;04396
GU9G;26/11/2016;09:15;K.F.C. Eendracht Hooglede ;K.V.C Ichtegem ;;;;13;06352;05830
GU9G;26/11/2016;09:15;K.FC Lichtervelde A;K. VP Gits A;;;;13;04320;04343
GU9G;26/11/2016;09:30;SKD Hertsberge B;K. SKV Zwevezele A;;;;13;07203;06039
GU9G;03/12/2016;09:00;K. SKV Zwevezele A;K.FC Lichtervelde A;;;;14;06039;04320
GU9G;03/12/2016;09:15;K.V.C Ichtegem ;SKD Hertsberge B;;;;14;05830;07203
GU9G;03/12/2016;09:15;SK Staden A;K.F.C. Eendracht Hooglede ;;;;14;04396;06352
GU9G;03/12/2016;09:30;K. VP Gits A;V.V. Tielt A;;;;14;04343;00218
GU9H;03/09/2016;09:15;V.V. Emelgem-Kachtem A;V.V. Tielt B;;;;1;07937;00218
GU9H;03/09/2016;09:45;Jong Vijve A;K. Z. Dentergem ;;;;1;09385;03968
GU9H;03/09/2016;11:15;K. WS Desselgem A;K. FC. Meulebeke A;;;;1;04948;01255
GU9H;10/09/2016;09:00;V.V. Tielt B;K. WS Desselgem A;;;;2;00218;04948
GU9H;10/09/2016;09:15;SC Oostrozebeke A;Jong Vijve A;;;;2;03952;09385
GU9H;10/09/2016;09:15;K. Z. Dentergem ;V.V. Emelgem-Kachtem A;;;;2;03968;07937
GU9H;17/09/2016;09:00;V.V. Tielt B;K. Z. Dentergem ;;;;3;00218;03968
GU9H;17/09/2016;09:15;V.V. Emelgem-Kachtem A;SC Oostrozebeke A;;;;3;07937;03952
GU9H;17/09/2016;09:45;Jong Vijve A;K. FC. Meulebeke A;;;;3;09385;01255
GU9H;24/09/2016;09:15;K. FC. Meulebeke A;V.V. Emelgem-Kachtem A;;;;4;01255;07937
GU9H;24/09/2016;09:15;SC Oostrozebeke A;V.V. Tielt B;;;;4;03952;00218
GU9H;24/09/2016;09:15;K. Z. Dentergem ;K. WS Desselgem A;;;;4;03968;04948
GU9H;28/09/2016;18:00;K. Z. Dentergem ;SC Oostrozebeke A;;;;5;03968;03952
GU9H;01/10/2016;09:00;V.V. Tielt B;K. FC. Meulebeke A;;;;5;00218;01255
GU9H;01/10/2016;11:15;K. WS Desselgem A;Jong Vijve A;;;;5;04948;09385
GU9H;08/10/2016;09:15;K. Z. Dentergem ;K. FC. Meulebeke A;;;;13;03968;01255
GU9H;08/10/2016;09:30;K. WS Desselgem A;SC Oostrozebeke A;;;;6;04948;03952
GU9H;08/10/2016;09:45;Jong Vijve A;V.V. Emelgem-Kachtem A;;;;6;09385;07937
GU9H;15/10/2016;09:00;V.V. Tielt B;Jong Vijve A;;;;7;00218;09385
GU9H;15/10/2016;09:15;V.V. Emelgem-Kachtem A;K. WS Desselgem A;;;;7;07937;04948
GU9H;15/10/2016;09:15;SC Oostrozebeke A;K. FC. Meulebeke A;;;;7;03952;01255
GU9H;22/10/2016;09:00;V.V. Tielt B;V.V. Emelgem-Kachtem A;;;;8;00218;07937
GU9H;22/10/2016;09:15;K. FC. Meulebeke A;K. WS Desselgem A;;;;8;01255;04948
GU9H;22/10/2016;09:15;K. Z. Dentergem ;Jong Vijve A;;;;8;03968;09385
GU9H;29/10/2016;09:15;V.V. Emelgem-Kachtem A;K. Z. Dentergem ;;;;9;07937;03968
GU9H;29/10/2016;09:45;Jong Vijve A;SC Oostrozebeke A;;;;9;09385;03952
GU9H;29/10/2016;11:15;K. WS Desselgem A;V.V. Tielt B;;;;9;04948;00218
GU9H;05/11/2016;09:15;SC Oostrozebeke A;V.V. Emelgem-Kachtem A;;;;10;03952;07937
GU9H;05/11/2016;09:15;K. FC. Meulebeke A;Jong Vijve A;;;;10;01255;09385
GU9H;05/11/2016;11:00;K. Z. Dentergem ;V.V. Tielt B;;;;10;03968;00218
GU9H;12/11/2016;09:00;V.V. Tielt B;SC Oostrozebeke A;;;;11;00218;03952
GU9H;12/11/2016;09:15;V.V. Emelgem-Kachtem A;K. FC. Meulebeke A;;;;11;07937;01255
GU9H;12/11/2016;11:15;K. WS Desselgem A;K. Z. Dentergem ;;;;11;04948;03968
GU9H;19/11/2016;09:15;SC Oostrozebeke A;K. Z. Dentergem ;;;;12;03952;03968
GU9H;19/11/2016;09:45;Jong Vijve A;K. WS Desselgem A;;;PP;12;09385;04948
GU9H;26/11/2016;09:15;SC Oostrozebeke A;K. WS Desselgem A;;;;13;03952;04948
GU9H;26/11/2016;09:15;K. FC. Meulebeke A;K. Z. Dentergem ;;;;6;01255;03968
GU9H;26/11/2016;09:15;V.V. Emelgem-Kachtem A;Jong Vijve A;;;;13;07937;09385
GU9H;03/12/2016;09:15;K. FC. Meulebeke A;SC Oostrozebeke A;;;;14;01255;03952
GU9H;03/12/2016;09:45;Jong Vijve A;V.V. Tielt B;;;;14;09385;00218
GU9H;03/12/2016;11:15;K. WS Desselgem A;V.V. Emelgem-Kachtem A;;;;14;04948;07937
GU9H;10/12/2016;09:15;K. FC. Meulebeke A;V.V. Tielt B;;;;12;01255;00218
GU9I;03/09/2016;09:00;VK Wikings Kortrijk B;SC Oostrozebeke B;;;;1;09376;03952
GU9I;03/09/2016;09:15;KSV Kortrijk A;V.V. Tielt C;;;;1;04253;00218
GU9I;03/09/2016;09:45;Jong Vijve B;SV Anzegem A;;;;1;09385;06122
GU9I;03/09/2016;11:15;K. WS Desselgem B;K. FC. Meulebeke ;;;;1;04948;01255
GU9I;10/09/2016;09:00;V.V. Tielt C;K. WS Desselgem B;;;;2;00218;04948
GU9I;10/09/2016;09:00;SV Anzegem A;KSV Kortrijk A;;;;2;06122;04253
GU9I;10/09/2016;09:15;SC Oostrozebeke B;Jong Vijve B;;;;2;03952;09385
GU9I;10/09/2016;09:15;K. FC. Meulebeke ;VK Wikings Kortrijk B;;;;2;01255;09376
GU9I;17/09/2016;09:00;V.V. Tielt C;SV Anzegem A;;;;3;00218;06122
GU9I;17/09/2016;09:15;KSV Kortrijk A;SC Oostrozebeke B;;;;3;04253;03952
GU9I;17/09/2016;09:45;Jong Vijve B;K. FC. Meulebeke ;;;;3;09385;01255
GU9I;17/09/2016;11:15;K. WS Desselgem B;VK Wikings Kortrijk B;;;;3;04948;09376
GU9I;24/09/2016;09:00;VK Wikings Kortrijk B;Jong Vijve B;;;;4;09376;09385
GU9I;24/09/2016;09:00;SV Anzegem A;K. WS Desselgem B;;;;4;06122;04948
GU9I;24/09/2016;09:15;K. FC. Meulebeke ;KSV Kortrijk A;;;;4;01255;04253
GU9I;24/09/2016;09:15;SC Oostrozebeke B;V.V. Tielt C;;;;4;03952;00218
GU9I;01/10/2016;09:00;V.V. Tielt C;K. FC. Meulebeke ;;;;5;00218;01255
GU9I;01/10/2016;09:00;SV Anzegem A;SC Oostrozebeke B;;;;5;06122;03952
GU9I;01/10/2016;09:15;KSV Kortrijk A;VK Wikings Kortrijk B;;;;5;04253;09376
GU9I;01/10/2016;11:15;K. WS Desselgem B;Jong Vijve B;;;;5;04948;09385
GU9I;08/10/2016;09:00;VK Wikings Kortrijk B;V.V. Tielt C;;;;6;09376;00218
GU9I;08/10/2016;09:00;SV Anzegem A;K. FC. Meulebeke ;;;;13;06122;01255
GU9I;08/10/2016;09:30;K. WS Desselgem B;SC Oostrozebeke B;;;;6;04948;03952
GU9I;08/10/2016;09:45;Jong Vijve B;KSV Kortrijk A;;;;6;09385;04253
GU9I;15/10/2016;09:00;V.V. Tielt C;Jong Vijve B;;;;7;00218;09385
GU9I;15/10/2016;09:00;SV Anzegem A;VK Wikings Kortrijk B;;;;7;06122;09376
GU9I;15/10/2016;09:15;KSV Kortrijk A;K. WS Desselgem B;;;;7;04253;04948
GU9I;15/10/2016;09:15;SC Oostrozebeke B;K. FC. Meulebeke ;;;;7;03952;01255
GU9I;22/10/2016;09:00;V.V. Tielt C;KSV Kortrijk A;;;;8;00218;04253
GU9I;22/10/2016;09:00;SV Anzegem A;Jong Vijve B;;;;8;06122;09385
GU9I;22/10/2016;09:15;K. FC. Meulebeke ;K. WS Desselgem B;;;;8;01255;04948
GU9I;22/10/2016;09:15;SC Oostrozebeke B;VK Wikings Kortrijk B;;;;8;03952;09376
GU9I;29/10/2016;09:00;VK Wikings Kortrijk B;K. FC. Meulebeke ;;;;9;09376;01255
GU9I;29/10/2016;09:15;KSV Kortrijk A;SV Anzegem A;;;;9;04253;06122
GU9I;29/10/2016;09:45;Jong Vijve B;SC Oostrozebeke B;;;;9;09385;03952
GU9I;29/10/2016;11:15;K. WS Desselgem B;V.V. Tielt C;;;;9;04948;00218
GU9I;05/11/2016;09:00;VK Wikings Kortrijk B;K. WS Desselgem B;;;;10;09376;04948
GU9I;05/11/2016;09:00;SV Anzegem A;V.V. Tielt C;;;;10;06122;00218
GU9I;05/11/2016;09:15;SC Oostrozebeke B;KSV Kortrijk A;;;;10;03952;04253
GU9I;05/11/2016;09:15;K. FC. Meulebeke ;Jong Vijve B;;;;10;01255;09385
GU9I;12/11/2016;09:00;V.V. Tielt C;SC Oostrozebeke B;;;;11;00218;03952
GU9I;12/11/2016;09:15;KSV Kortrijk A;K. FC. Meulebeke ;;;;11;04253;01255
GU9I;12/11/2016;09:45;Jong Vijve B;VK Wikings Kortrijk B;;;;11;09385;09376
GU9I;12/11/2016;11:15;K. WS Desselgem B;SV Anzegem A;;;;11;04948;06122
GU9I;19/11/2016;09:00;VK Wikings Kortrijk B;KSV Kortrijk A;;;;12;09376;04253
GU9I;19/11/2016;09:15;SC Oostrozebeke B;SV Anzegem A;;;;12;03952;06122
GU9I;19/11/2016;09:45;Jong Vijve B;K. WS Desselgem B;;;PP;12;09385;04948
GU9I;26/11/2016;09:00;V.V. Tielt C;VK Wikings Kortrijk B;;;;13;00218;09376
GU9I;26/11/2016;09:15;KSV Kortrijk A;Jong Vijve B;;;;13;04253;09385
GU9I;26/11/2016;09:15;SC Oostrozebeke B;K. WS Desselgem B;;;;13;03952;04948
GU9I;26/11/2016;09:15;K. FC. Meulebeke ;SV Anzegem A;;;;6;01255;06122
GU9I;03/12/2016;09:00;VK Wikings Kortrijk B;SV Anzegem A;;;;14;09376;06122
GU9I;03/12/2016;09:15;K. FC. Meulebeke ;SC Oostrozebeke B;;;;14;01255;03952
GU9I;03/12/2016;09:45;Jong Vijve B;V.V. Tielt C;;;;14;09385;00218
GU9I;03/12/2016;11:15;K. WS Desselgem B;KSV Kortrijk A;;;;14;04948;04253
GU9I;10/12/2016;09:15;K. FC. Meulebeke ;V.V. Tielt C;;;;12;01255;00218
GU9J;03/09/2016;09:15;VK Dadizele ;Racing Club Harelbeke ;;;;1;08264;01574
GU9J;03/09/2016;10:30;K. WS Lauwe ;K. Eendr. Wervik B;;;;1;00535;03694
GU9J;03/09/2016;10:45;K. FC Lendelede Sport ;K. SK Geluwe ;;;;1;04827;01815
GU9J;03/09/2016;10:45;K. Sint-Eloois-Winkel Sp. ;WS Bellegem A;;;;1;04408;06114
GU9J;10/09/2016;09:15;Racing Club Harelbeke ;K. WS Lauwe ;;;;2;01574;00535
GU9J;10/09/2016;09:15;K. SK Geluwe ;K. Sint-Eloois-Winkel Sp. ;;;;2;01815;04408
