DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
G11X;24/09/2016;11:00;KVC Booischot ;K. SAV St. Dimpna D;;;;4;03286;05924
G11X;24/09/2016;12:30;FCM Hallaar C;K. BO Beerzel FC ;;;;4;02982;02641
G11X;24/09/2016;14:00;K.F.C. Putte B;KFC Tongerlo ;;;;4;01874;02040
G11X;01/10/2016;11:00;VV MLK. Lichtaart ;K.F.C. Putte B;;;;5;09200;01874
G11X;01/10/2016;11:00;K. Immer Voort FC ;K. SAV St. Dimpna D;;;;5;05394;05924
G11X;01/10/2016;12:30;K. BO Beerzel FC ;KVC Booischot ;;;;5;02641;03286
G11X;01/10/2016;14:30;KFC Tongerlo ;FCM Hallaar C;;;;5;02040;02982
G11X;08/10/2016;11:00;KVC Booischot ;KFC Tongerlo ;;;;6;03286;02040
G11X;08/10/2016;11:00;K. Immer Voort FC ;K.F.C. Putte B;;;;6;05394;01874
G11X;08/10/2016;12:30;FCM Hallaar C;VV MLK. Lichtaart ;;;;6;02982;09200
G11X;08/10/2016;14:30;K. SAV St. Dimpna D;K. BO Beerzel FC ;;;;6;05924;02641
G11X;15/10/2016;11:00;VV MLK. Lichtaart ;KVC Booischot ;;;;7;09200;03286
G11X;15/10/2016;12:30;K. BO Beerzel FC ;K. Immer Voort FC ;;;;7;02641;05394
G11X;15/10/2016;14:00;K.F.C. Putte B;FCM Hallaar C;;;;7;01874;02982
G11X;15/10/2016;14:30;KFC Tongerlo ;K. SAV St. Dimpna D;;;;7;02040;05924
G11X;22/10/2016;11:00;VV MLK. Lichtaart ;K. SAV St. Dimpna D;;;;8;09200;05924
G11X;22/10/2016;14:00;K.F.C. Putte B;KVC Booischot ;;;;8;01874;03286
G11X;22/10/2016;14:30;KFC Tongerlo ;K. BO Beerzel FC ;;;;8;02040;02641
G11X;24/10/2016;17:03;FCM Hallaar C;K. Immer Voort FC ;;;;8;02982;05394
G11X;26/10/2016;19:15;K. SAV St. Dimpna D;KVC Booischot ;;;;11;05924;03286
G11X;05/11/2016;11:00;K. Immer Voort FC ;KFC Tongerlo ;;;;9;05394;02040
G11X;05/11/2016;11:00;KVC Booischot ;FCM Hallaar C;;;;9;03286;02982
G11X;05/11/2016;12:30;K. BO Beerzel FC ;VV MLK. Lichtaart ;;;;9;02641;09200
G11X;05/11/2016;14:30;K. SAV St. Dimpna D;K.F.C. Putte B;;;;9;05924;01874
G11X;09/11/2016;18:00;KVC Booischot ;K. Immer Voort FC ;;;;10;03286;05394
G11X;12/11/2016;09:30;K.F.C. Putte B;K. BO Beerzel FC ;;;;10;01874;02641
G11X;12/11/2016;11:00;VV MLK. Lichtaart ;KFC Tongerlo ;;;;10;09200;02040
G11X;12/11/2016;12:30;FCM Hallaar C;K. SAV St. Dimpna D;;;;10;02982;05924
G11X;19/11/2016;09:30;KFC Tongerlo ;K.F.C. Putte B;;;PP;11;02040;01874
G11X;19/11/2016;11:00;K. Immer Voort FC ;VV MLK. Lichtaart ;;;PP;11;05394;09200
G11X;19/11/2016;12:30;K. BO Beerzel FC ;FCM Hallaar C;;;PP;11;02641;02982
G11X;25/11/2016;18:15;K. SAV St. Dimpna D;K. Immer Voort FC ;;;;12;05924;05394
G11X;26/11/2016;09:30;K.F.C. Putte B;VV MLK. Lichtaart ;;;;12;01874;09200
G11X;26/11/2016;11:00;KVC Booischot ;K. BO Beerzel FC ;;;;12;03286;02641
G11X;26/11/2016;12:30;FCM Hallaar C;KFC Tongerlo ;;;;12;02982;02040
G11X;03/12/2016;11:00;VV MLK. Lichtaart ;FCM Hallaar C;;;;13;09200;02982
G11X;03/12/2016;12:30;K. BO Beerzel FC ;K. SAV St. Dimpna D;;;;13;02641;05924
G11X;03/12/2016;14:00;K.F.C. Putte B;K. Immer Voort FC ;;;;13;01874;05394
G11X;03/12/2016;14:30;KFC Tongerlo ;KVC Booischot ;;;;13;02040;03286
G11X;10/12/2016;11:00;KVC Booischot ;VV MLK. Lichtaart ;;;;14;03286;09200
G11X;10/12/2016;11:00;K. Immer Voort FC ;K. BO Beerzel FC ;;;;14;05394;02641
G11X;10/12/2016;12:30;FCM Hallaar C;K.F.C. Putte B;;;;14;02982;01874
G11X;10/12/2016;14:30;K. SAV St. Dimpna D;KFC Tongerlo ;;;;14;05924;02040
G11Y;03/09/2016;09:30;FC Turnhout ;Verbr.Arendonk B;;;;1;00148;00915
G11Y;03/09/2016;11:00;KSV Oud Turnhout ;KFC Vrij Arendonk ;;;;1;03327;06561
G11Y;03/09/2016;11:30;KFC Flandria ;K. Merksplas SK B;;;;1;03194;03256
G11Y;03/09/2016;12:30;KSK Kasterlee R;KSK Oosthoven B;;;PP;1;03734;02820
G11Y;10/09/2016;10:00;Verbr.Arendonk B;KSK Kasterlee R;;;;2;00915;03734
G11Y;10/09/2016;10:45;KSK Oosthoven B;KSV Oud Turnhout ;;;;2;02820;03327
G11Y;10/09/2016;12:00;K. Merksplas SK B;FC Turnhout ;;;;2;03256;00148
G11Y;10/09/2016;12:30;KFC Vrij Arendonk ;KFC Flandria ;;;;2;06561;03194
G11Y;17/09/2016;10:00;Verbr.Arendonk B;K. Merksplas SK B;;;;3;00915;03256
G11Y;17/09/2016;11:00;FC Turnhout ;KFC Vrij Arendonk ;;;;3;00148;06561
G11Y;17/09/2016;12:30;KFC Flandria ;KSK Oosthoven B;;;;3;03194;02820
G11Y;17/09/2016;12:30;KSK Kasterlee R;KSV Oud Turnhout ;;;;3;03734;03327
G11Y;24/09/2016;10:45;KSK Oosthoven B;FC Turnhout ;;;;4;02820;00148
G11Y;24/09/2016;11:00;KSV Oud Turnhout ;KFC Flandria ;;;;4;03327;03194
G11Y;24/09/2016;12:00;K. Merksplas SK B;KSK Kasterlee R;;;;4;03256;03734
G11Y;24/09/2016;12:30;KFC Vrij Arendonk ;Verbr.Arendonk B;;;;4;06561;00915
