DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
U8F;09/10/2016;10:00;Kab. Opglabbeek ;FC Racing Boxberg ;;;;6;03178;09597
U8F;15/10/2016;10:00;Melo Zonhoven ;Zwartberg FC ;;;;7;09130;00658
U8F;15/10/2016;11:00;E. Louwel A;E.Termien C;;;;7;06921;07919
U8F;16/10/2016;11:45;Calcio Genk A;Kab. Opglabbeek ;;;;7;09581;03178
U8F;17/10/2016;18:15;FC Racing Boxberg ;Bokrijk Sp. A;;;;7;09597;04529
U8F;22/10/2016;09:30;E.Termien C;Bokrijk Sp. A;;;;8;07919;04529
U8F;22/10/2016;10:00;Melo Zonhoven ;Kab. Opglabbeek ;;;;8;09130;03178
U8F;22/10/2016;11:00;E. Louwel A;Zwartberg FC ;;;;8;06921;00658
U8F;23/10/2016;11:45;Calcio Genk A;FC Racing Boxberg ;;;;8;09581;09597
U8F;29/10/2016;09:30;Bokrijk Sp. A;Calcio Genk A;;;;9;04529;09581
U8F;29/10/2016;10:00;FC Racing Boxberg ;Melo Zonhoven ;;;;9;09597;09130
U8F;29/10/2016;11:00;Zwartberg FC ;E.Termien C;;;;9;00658;07919
U8F;30/10/2016;10:00;Kab. Opglabbeek ;E. Louwel A;;;;9;03178;06921
U8F;05/11/2016;09:30;E.Termien C;Kab. Opglabbeek ;;;;10;07919;03178
U8F;05/11/2016;10:00;Melo Zonhoven ;Calcio Genk A;;;;10;09130;09581
U8F;05/11/2016;11:00;Zwartberg FC ;Bokrijk Sp. A;;;;10;00658;04529
U8F;06/11/2016;09:30;E. Louwel A;FC Racing Boxberg ;;;;10;06921;09597
U8F;10/11/2016;18:00;FC Racing Boxberg ;E.Termien C;;;;11;09597;07919
U8F;13/11/2016;10:00;Kab. Opglabbeek ;Zwartberg FC ;;;;11;03178;00658
U8F;13/11/2016;11:45;Calcio Genk A;E. Louwel A;;;;11;09581;06921
U8F;16/11/2016;18:00;Bokrijk Sp. A;Melo Zonhoven ;;;;11;04529;09130
U8F;19/11/2016;09:30;E.Termien C;Calcio Genk A;;;;12;07919;09581
U8F;19/11/2016;11:00;E. Louwel A;Melo Zonhoven ;;;;12;06921;09130
U8F;19/11/2016;11:00;Zwartberg FC ;FC Racing Boxberg ;;;;12;00658;09597
U8F;20/11/2016;10:00;Kab. Opglabbeek ;Bokrijk Sp. A;;;;12;03178;04529
U8F;26/11/2016;10:00;Melo Zonhoven ;E.Termien C;;;;13;09130;07919
U8F;26/11/2016;10:00;FC Racing Boxberg ;Kab. Opglabbeek ;;;;13;09597;03178
U8F;26/11/2016;11:00;E. Louwel A;Bokrijk Sp. A;;;;13;06921;04529
U8F;27/11/2016;11:45;Calcio Genk A;Zwartberg FC ;;;;13;09581;00658
U8F;03/12/2016;09:30;Bokrijk Sp. A;FC Racing Boxberg ;;;;14;04529;09597
U8F;03/12/2016;09:30;E.Termien C;E. Louwel A;;;;14;07919;06921
U8F;03/12/2016;11:00;Zwartberg FC ;Melo Zonhoven ;;;;14;00658;09130
U8F;04/12/2016;10:00;Kab. Opglabbeek ;Calcio Genk A;;;;14;03178;09581
U8G;03/09/2016;10:00;Zepperen Brustem C;A.C.Tervant B;;;;1;08250;08121
U8G;03/09/2016;11:30;MD Halen ;VV Nieuwerkerken ;;;;1;01051;06820
U8G;03/09/2016;13:00;Diepenbeek VVDZ A;Thes Sport Tessenderlo C;;;;1;05004;03671
U8G;10/09/2016;10:30;VV Nieuwerkerken ;Diepenbeek VVDZ A;;;;2;06820;05004
U8G;10/09/2016;12:00;A.C.Tervant B;MD Halen ;;;;2;08121;01051
U8G;10/09/2016;12:30;Thes Sport Tessenderlo C;Zepperen Brustem C;;;;2;03671;08250
U8G;17/09/2016;10:00;Zepperen Brustem C;MD Halen ;;;;3;08250;01051
U8G;17/09/2016;12:30;Thes Sport Tessenderlo C;VV Nieuwerkerken ;;;;3;03671;06820
U8G;17/09/2016;13:00;Diepenbeek VVDZ A;A.C.Tervant B;;;;3;05004;08121
U8G;24/09/2016;10:00;Zepperen Brustem C;VV Nieuwerkerken ;;;;4;08250;06820
U8G;24/09/2016;11:30;MD Halen ;Diepenbeek VVDZ A;;;;4;01051;05004
U8G;24/09/2016;12:00;A.C.Tervant B;Thes Sport Tessenderlo C;;;;4;08121;03671
U8G;01/10/2016;10:30;VV Nieuwerkerken ;A.C.Tervant B;;;;5;06820;08121
U8G;01/10/2016;12:30;Thes Sport Tessenderlo C;MD Halen ;;;;5;03671;01051
U8G;01/10/2016;13:00;Diepenbeek VVDZ A;Zepperen Brustem C;;;;5;05004;08250
U8G;08/10/2016;10:30;VV Nieuwerkerken ;MD Halen ;;;;6;06820;01051
U8G;08/10/2016;12:00;A.C.Tervant B;Zepperen Brustem C;;;;6;08121;08250
U8G;09/10/2016;10:00;Thes Sport Tessenderlo C;Diepenbeek VVDZ A;;;;6;03671;05004
U8G;15/10/2016;11:30;MD Halen ;A.C.Tervant B;;;;7;01051;08121
U8G;15/10/2016;13:00;Diepenbeek VVDZ A;VV Nieuwerkerken ;;;;7;05004;06820
U8G;15/10/2016;15:00;Zepperen Brustem C;Thes Sport Tessenderlo C;;;;7;08250;03671
U8G;22/10/2016;10:30;VV Nieuwerkerken ;Thes Sport Tessenderlo C;;;;8;06820;03671
U8G;22/10/2016;11:30;MD Halen ;Zepperen Brustem C;;;;8;01051;08250
U8G;23/10/2016;13:00;A.C.Tervant B;Diepenbeek VVDZ A;;;;8;08121;05004
U8G;26/10/2016;18:00;VV Nieuwerkerken ;Zepperen Brustem C;;;;9;06820;08250
U8G;29/10/2016;12:30;Thes Sport Tessenderlo C;A.C.Tervant B;;;;9;03671;08121
U8G;29/10/2016;12:30;Diepenbeek VVDZ A;MD Halen ;;;;9;05004;01051
U8G;05/11/2016;10:00;Zepperen Brustem C;Diepenbeek VVDZ A;;;;10;08250;05004
U8G;05/11/2016;11:30;MD Halen ;Thes Sport Tessenderlo C;;;;10;01051;03671
U8G;05/11/2016;12:00;A.C.Tervant B;VV Nieuwerkerken ;;;;10;08121;06820
U8G;12/11/2016;10:00;Zepperen Brustem C;A.C.Tervant B;;;;11;08250;08121
U8G;12/11/2016;11:30;MD Halen ;VV Nieuwerkerken ;;;;11;01051;06820
U8G;12/11/2016;12:00;Diepenbeek VVDZ A;Thes Sport Tessenderlo C;;;;11;05004;03671
U8G;19/11/2016;10:30;VV Nieuwerkerken ;Diepenbeek VVDZ A;;;;12;06820;05004
U8G;19/11/2016;12:00;A.C.Tervant B;MD Halen ;;;;12;08121;01051
U8G;19/11/2016;12:30;Thes Sport Tessenderlo C;Zepperen Brustem C;;;PP;12;03671;08250
U8G;26/11/2016;11:00;Diepenbeek VVDZ A;A.C.Tervant B;;;;13;05004;08121
U8G;26/11/2016;12:30;Thes Sport Tessenderlo C;VV Nieuwerkerken ;;;;13;03671;06820
U8G;26/11/2016;14:30;Zepperen Brustem C;MD Halen ;;;;13;08250;01051
U8G;03/12/2016;10:00;Zepperen Brustem C;VV Nieuwerkerken ;;;;14;08250;06820
U8G;03/12/2016;11:30;MD Halen ;Diepenbeek VVDZ A;;;;14;01051;05004
U8G;03/12/2016;12:00;A.C.Tervant B;Thes Sport Tessenderlo C;;;;14;08121;03671
U8H;01/09/2016;18:15;K.M.R. Biesen A;WS Schoonbeek-Beverst A;;;;1;04548;02727
U8H;03/09/2016;10:00;Turkse Rangers ;E. Louwel B;;;;1;09147;06921
U8H;03/09/2016;12:00;Godsheide VV ;FC Veldwezelt A;;;;1;05715;09613
U8H;03/09/2016;13:00;Diepenbeek VVDZ B;VV Hoeselt A;;;;1;05004;01479
U8H;09/09/2016;18:30;WS Schoonbeek-Beverst A;Diepenbeek VVDZ B;;;;2;02727;05004
U8H;10/09/2016;09:30;E. Louwel B;Godsheide VV ;;;;2;06921;05715
U8H;10/09/2016;09:30;VV Hoeselt A;Turkse Rangers ;;;;2;01479;09147
U8H;11/09/2016;09:30;FC Veldwezelt A;K.M.R. Biesen A;;;;2;09613;04548
U8H;17/09/2016;09:30;WS Schoonbeek-Beverst A;FC Veldwezelt A;;;;3;02727;09613
U8H;17/09/2016;10:00;K.M.R. Biesen A;E. Louwel B;;;;3;04548;06921
U8H;17/09/2016;12:00;Godsheide VV ;VV Hoeselt A;;;;3;05715;01479
U8H;17/09/2016;13:00;Diepenbeek VVDZ B;Turkse Rangers ;5;0;F1;3;05004;09147
U8H;24/09/2016;09:30;E. Louwel B;WS Schoonbeek-Beverst A;;;;4;06921;02727
U8H;24/09/2016;09:30;VV Hoeselt A;K.M.R. Biesen A;;;;4;01479;04548
U8H;24/09/2016;10:00;Turkse Rangers ;Godsheide VV ;;;;4;09147;05715
U8H;25/09/2016;09:30;FC Veldwezelt A;Diepenbeek VVDZ B;;;;4;09613;05004
U8H;01/10/2016;09:30;WS Schoonbeek-Beverst A;VV Hoeselt A;;;;5;02727;01479
U8H;01/10/2016;10:00;K.M.R. Biesen A;Turkse Rangers ;;;PP;5;04548;09147
U8H;01/10/2016;13:00;Diepenbeek VVDZ B;Godsheide VV ;;;;5;05004;05715
U8H;02/10/2016;09:30;FC Veldwezelt A;E. Louwel B;;;PP;5;09613;06921
U8H;08/10/2016;09:30;VV Hoeselt A;FC Veldwezelt A;;;;6;01479;09613
U8H;08/10/2016;12:00;Godsheide VV ;K.M.R. Biesen A;;;;6;05715;04548
U8H;08/10/2016;13:00;Turkse Rangers ;WS Schoonbeek-Beverst A;;;;6;09147;02727
U8H;08/10/2016;13:00;Diepenbeek VVDZ B;E. Louwel B;;;;6;05004;06921
U8H;15/10/2016;09:30;E. Louwel B;VV Hoeselt A;;;;7;06921;01479
U8H;15/10/2016;09:30;WS Schoonbeek-Beverst A;Godsheide VV ;;;;7;02727;05715
U8H;15/10/2016;10:00;K.M.R. Biesen A;Diepenbeek VVDZ B;;;;7;04548;05004
U8H;16/10/2016;09:30;FC Veldwezelt A;Turkse Rangers ;;;;7;09613;09147
U8H;22/10/2016;09:30;VV Hoeselt A;Diepenbeek VVDZ B;;;;8;01479;05004
U8H;22/10/2016;09:30;WS Schoonbeek-Beverst A;K.M.R. Biesen A;;;;8;02727;04548
U8H;22/10/2016;09:30;E. Louwel B;Turkse Rangers ;;;;8;06921;09147
U8H;23/10/2016;09:30;FC Veldwezelt A;Godsheide VV ;;;;8;09613;05715
U8H;29/10/2016;10:00;Turkse Rangers ;VV Hoeselt A;;;;9;09147;01479
U8H;29/10/2016;10:00;K.M.R. Biesen A;FC Veldwezelt A;;;;9;04548;09613
U8H;29/10/2016;12:00;Godsheide VV ;E. Louwel B;;;;9;05715;06921
U8H;29/10/2016;12:30;Diepenbeek VVDZ B;WS Schoonbeek-Beverst A;;;;9;05004;02727
U8H;05/11/2016;09:30;VV Hoeselt A;Godsheide VV ;;;;10;01479;05715
U8H;05/11/2016;09:30;E. Louwel B;K.M.R. Biesen A;;;;10;06921;04548
U8H;05/11/2016;10:00;Turkse Rangers ;Diepenbeek VVDZ B;;;;10;09147;05004
U8H;06/11/2016;09:30;FC Veldwezelt A;WS Schoonbeek-Beverst A;;;;10;09613;02727
U8H;12/11/2016;09:30;WS Schoonbeek-Beverst A;E. Louwel B;;;;11;02727;06921
U8H;12/11/2016;10:00;K.M.R. Biesen A;VV Hoeselt A;;;;11;04548;01479
U8H;12/11/2016;12:00;Godsheide VV ;Turkse Rangers ;;;;11;05715;09147
U8H;12/11/2016;12:00;Diepenbeek VVDZ B;FC Veldwezelt A;;;;11;05004;09613
U8H;19/11/2016;09:30;VV Hoeselt A;WS Schoonbeek-Beverst A;;;;12;01479;02727
U8H;19/11/2016;09:30;E. Louwel B;FC Veldwezelt A;;;;12;06921;09613
U8H;19/11/2016;10:00;Turkse Rangers ;K.M.R. Biesen A;;;;12;09147;04548
U8H;19/11/2016;12:00;Godsheide VV ;Diepenbeek VVDZ B;;;;12;05715;05004
U8H;26/11/2016;09:30;WS Schoonbeek-Beverst A;Turkse Rangers ;;;;13;02727;09147
